Uid,Sid,Tag,Key,Time,Value,UpdateTime
8278074507,2016481816,daily_report,stress,1764115200,"{""min_stress"":6,""max_stress"":46,""avg_stress"":30,""stress_scale"":{""severe"":0,""relax"":12,""mild"":35,""moderate"":0}}",1764236323
8278074507,2016481816,daily_report,stress,1764201600,"{""max_stress"":45,""min_stress"":6,""stress_scale"":{""severe"":0,""relax"":101,""mild"":40,""moderate"":0},""avg_stress"":22}",1764320607
8278074507,2016481816,daily_report,stress,1764288000,"{""avg_stress"":22,""stress_scale"":{""relax"":104,""moderate"":0,""mild"":47,""severe"":0},""min_stress"":11,""max_stress"":43}",1764404041
8278074507,2016481816,daily_report,stress,1764374400,"{""max_stress"":44,""avg_stress"":21,""min_stress"":10,""stress_scale"":{""mild"":30,""relax"":99,""moderate"":0,""severe"":0}}",1764498229
8278074507,2016481816,daily_report,stress,1764460800,"{""avg_stress"":22,""min_stress"":10,""stress_scale"":{""severe"":0,""mild"":56,""relax"":123,""moderate"":0},""max_stress"":42}",1764704127
8278074507,2016481816,daily_report,stress,1764547200,"{""max_stress"":39,""avg_stress"":21,""min_stress"":9,""stress_scale"":{""relax"":154,""severe"":0,""mild"":49,""moderate"":0}}",1764704127
8278074507,2016481816,daily_report,stress,1764633600,"{""min_stress"":4,""max_stress"":44,""avg_stress"":19,""stress_scale"":{""severe"":0,""mild"":39,""relax"":165,""moderate"":0}}",1764725189
8278074507,2016481816,daily_report,stress,1764720000,"{""avg_stress"":22,""max_stress"":40,""stress_scale"":{""mild"":56,""severe"":0,""relax"":124,""moderate"":0},""min_stress"":7}",1764779890
8278074507,2016481816,daily_report,stress,1764806400,"{""avg_stress"":23,""max_stress"":46,""stress_scale"":{""mild"":53,""moderate"":0,""relax"":103,""severe"":0},""min_stress"":11}",1764878757
8278074507,2016481816,daily_report,stress,1764892800,"{""avg_stress"":23,""max_stress"":39,""min_stress"":10,""stress_scale"":{""moderate"":0,""severe"":0,""mild"":45,""relax"":95}}",1764963808
8278074507,2016481816,daily_report,stress,1764979200,"{""stress_scale"":{""severe"":0,""relax"":95,""mild"":21,""moderate"":0},""avg_stress"":20,""max_stress"":37,""min_stress"":12}",1765150112
8278074507,2016481816,daily_report,stress,1765238400,"{""avg_stress"":19,""min_stress"":9,""stress_scale"":{""relax"":94,""moderate"":0,""mild"":16,""severe"":0},""max_stress"":44}",1765496644
8278074507,2016481816,daily_report,stress,1765324800,"{""avg_stress"":21,""max_stress"":48,""stress_scale"":{""mild"":23,""moderate"":0,""relax"":78,""severe"":0},""min_stress"":11}",1765496644
8278074507,2016481816,daily_report,stress,1765411200,"{""min_stress"":11,""stress_scale"":{""relax"":73,""moderate"":0,""severe"":0,""mild"":23},""max_stress"":40,""avg_stress"":21}",1765496644
8278074507,2016481816,daily_report,stress,1765497600,"{""max_stress"":44,""min_stress"":3,""avg_stress"":30,""stress_scale"":{""relax"":24,""moderate"":0,""mild"":89,""severe"":0}}",1765623343
8278074507,2016481816,daily_report,stress,1765584000,"{""avg_stress"":20,""stress_scale"":{""relax"":120,""mild"":24,""moderate"":0,""severe"":0},""max_stress"":44,""min_stress"":8}",1765648377
8278074507,2016481816,daily_report,stress,1765670400,"{""stress_scale"":{""mild"":44,""severe"":0,""relax"":87,""moderate"":0},""min_stress"":12,""avg_stress"":22,""max_stress"":43}",1765755511
8278074507,2016481816,daily_report,stress,1765756800,"{""min_stress"":10,""avg_stress"":24,""stress_scale"":{""relax"":88,""severe"":0,""moderate"":0,""mild"":65},""max_stress"":45}",1765880384
8278074507,2016481816,daily_report,stress,1765843200,"{""stress_scale"":{""moderate"":0,""relax"":91,""severe"":0,""mild"":26},""min_stress"":11,""max_stress"":43,""avg_stress"":21}",1765923263
8278074507,2016481816,daily_report,stress,1765929600,"{""max_stress"":44,""stress_scale"":{""moderate"":0,""severe"":0,""relax"":68,""mild"":38},""avg_stress"":23,""min_stress"":4}",1766018759
8278074507,2016481816,daily_report,stress,1766016000,"{""stress_scale"":{""relax"":86,""mild"":40,""moderate"":0,""severe"":0},""avg_stress"":22,""min_stress"":7,""max_stress"":44}",1766097359
8278074507,2016481816,daily_report,stress,1766102400,"{""min_stress"":9,""stress_scale"":{""relax"":98,""moderate"":0,""mild"":22,""severe"":0},""avg_stress"":20,""max_stress"":45}",1766170237
8278074507,2016481816,daily_report,stress,1766188800,"{""min_stress"":36,""avg_stress"":38,""stress_scale"":{""relax"":0,""mild"":11,""moderate"":0,""severe"":0},""max_stress"":45}",1766257632
8278074507,2016481816,daily_report,stress,1766275200,"{""stress_scale"":{""severe"":0,""relax"":0,""mild"":7,""moderate"":0},""min_stress"":28,""max_stress"":36,""avg_stress"":32}",1766331543
8278074507,2016481816,daily_report,stress,1766361600,"{""max_stress"":45,""min_stress"":29,""stress_scale"":{""severe"":0,""relax"":0,""mild"":22,""moderate"":0},""avg_stress"":36}",1766441711
8278074507,2016481816,daily_report,stress,1766448000,"{""avg_stress"":35,""max_stress"":44,""min_stress"":25,""stress_scale"":{""severe"":0,""relax"":1,""moderate"":0,""mild"":39}}",1766533417
